TIME	TYPE	COMMAND	ARG	HOST		ARG
5:35	PEPPER	start_animation	bplot/67lookscreensl3-l4-l5	B_PLOT	bplot/	67lookscreensl3-l4-l5
5:51	PEPPER	start_animation	bplot/68feelsoreal	B_PLOT	bplot/	68feelsoreal
5:53	PEPPER	start_animation	aplot/75itsrealoverhere	A_PLOT	aplot/	75itsrealoverhere
5:56	PEPPER	start_animation	aplot/76movestor3-r4	A_PLOT	aplot/	76movestor3-r4
6:15	PEPPER	start_animation	aplot/77lookatcplot	A_PLOT	aplot/	77lookatcplot
6:17	PEPPER	start_animation	aplot/78sometimesmelt	A_PLOT	aplot/	78sometimesmelt
6:33	PEPPER	start_animation	bplot/69murdercrow	B_PLOT	bplot/	69murdercrow
6:37	PEPPER	start_animation	aplot/79movetor1-c6	A_PLOT	aplot/	79movetor1-c6
6:37	PEPPER	start_animation	bplot/70movesbetweenl3-l4-l5	B_PLOT	bplot/	70movesbetweenl3-l4-l5
6:50	PEPPER	start_animation	aplot/80aplotsurprise	A_PLOT	aplot/	80aplotsurprise
6:50	PEPPER	start_animation	bplot/71Bplotsurprised	B_PLOT	bplot/	71Bplotsurprised
7:03	PEPPER	start_animation	aplot/81idonttellyou	A_PLOT	aplot/	81idonttellyou
7:03	PEPPER	start_animation	bplot/72turnstoAplot	B_PLOT	bplot/	72turnstoAplot
7:05	PEPPER	start_animation	bplot/73justtell	B_PLOT	bplot/	73justtell
7:09	PEPPER	start_animation	aplot/82alleged	A_PLOT	aplot/	82alleged
7:11	PEPPER	start_animation	bplot/74thisgoodpeople	B_PLOT	bplot/	74thisgoodpeople
7:14	PEPPER	start_animation	aplot/83thisbadpeople	A_PLOT	aplot/	83thisbadpeople
7:23	PEPPER	start_animation	aplot/	A_PLOT	aplot/	
7:23	PEPPER	start_animation	bplot/	B_PLOT	bplot/	
7:26	PEPPER	start_animation	aplot/	A_PLOT	aplot/	
7:26	PEPPER	start_animation	bplot/	B_PLOT	bplot/	
7:30	PEPPER	start_animation	aplot/	A_PLOT	aplot/	
7:30	PEPPER	start_animation	bplot/	B_PLOT	bplot/	
7:33	PEPPER	start_animation	aplot/	A_PLOT	aplot/	
7:38	PEPPER	start_animation	aplot/	A_PLOT	aplot/	
7:38	PEPPER	start_animation	bplot/	B_PLOT	bplot/	
7:41	PEPPER	start_animation	aplot/	A_PLOT	aplot/	
7:41	PEPPER	start_animation	bplot/	B_PLOT	bplot/	
7:42	PEPPER	start_animation	aplot/	A_PLOT	aplot/	
7:42	PEPPER	start_animation	bplot/	B_PLOT	bplot/	
7:43	PEPPER	start_animation	bplot/	B_PLOT	bplot/	
7:43	PEPPER	start_animation	aplot/	A_PLOT	aplot/	
7:50	PEPPER	start_animation	aplot/	A_PLOT	aplot/	
7:54	PEPPER	start_animation	bplot/	B_PLOT	bplot/	
7:52	PEPPER	start_animation	aplot/	A_PLOT	aplot/	
7:58	PEPPER	start_animation	aplot/	A_PLOT	aplot/	
8:02	PEPPER	start_animation	aplot/	A_PLOT	aplot/	
8:04	PEPPER	start_animation	bplot/	B_PLOT	bplot/	
8:07	PEPPER	start_animation	aplot/	A_PLOT	aplot/	
8:08	PEPPER	start_animation	aplot/	A_PLOT	aplot/	
8:11	PEPPER	start_animation	aplot/	A_PLOT	aplot/	
8:13	PEPPER	start_animation	bplot/	B_PLOT	bplot/	
8:16	PEPPER	start_animation	bplot/	B_PLOT	bplot/	
8:16	PEPPER	start_animation	aplot/	A_PLOT	aplot/	
8:19	PEPPER	start_animation	aplot/	A_PLOT	aplot/	
8:22	PEPPER	start_animation	bplot/	B_PLOT	bplot/	
8:24	PEPPER	start_animation	bplot/	B_PLOT	bplot/	
8:26	PEPPER	start_animation	bplot/	B_PLOT	bplot/	
8:30	PEPPER	start_animation	aplot/	A_PLOT	aplot/	
8:30	PEPPER	start_animation	bplot/	B_PLOT	bplot/	
8:31	PEPPER	start_animation	aplot/	A_PLOT	aplot/	
8:35	PEPPER	start_animation	aplot/	A_PLOT	aplot/	
8:35	PEPPER	start_animation	bplot/	B_PLOT	bplot/	
8:42	PEPPER	start_animation	aplot/	A_PLOT	aplot/	
8:42	PEPPER	start_animation	bplot/	B_PLOT	bplot/	
8:43	PEPPER	start_animation	bplot/	B_PLOT	bplot/	
8:46	PEPPER	start_animation	bplot/	B_PLOT	bplot/	
8:49	PEPPER	start_animation	aplot/	A_PLOT	aplot/	
8:53	PEPPER	start_animation	aplot/	A_PLOT	aplot/	
8:55	PEPPER	start_animation	bplot/	B_PLOT	bplot/	
8:57	PEPPER	start_animation	aplot/	A_PLOT	aplot/	
8:59	PEPPER	start_animation	bplot/	B_PLOT	bplot/	
9:02	PEPPER	start_animation	aplot/	A_PLOT	aplot/	
9:04	PEPPER	start_animation	aplot/	A_PLOT	aplot/	
9:04	PEPPER	start_animation	bplot/	B_PLOT	bplot/	
9:08	PEPPER	start_animation	aplot/	A_PLOT	aplot/	
9:08	PEPPER	start_animation	bplot/	B_PLOT	bplot/	
9:11	PEPPER	start_animation	aplot/	A_PLOT	aplot/	
9:12	PEPPER	start_animation	aplot/	A_PLOT	aplot/	
9:14	PEPPER	start_animation	bplot/	B_PLOT	bplot/	
9:17	PEPPER	start_animation	bplot/	B_PLOT	bplot/	
9:21	PEPPER	start_animation	aplot/	A_PLOT	aplot/	
9:25	PEPPER	start_animation	bplot/	B_PLOT	bplot/	
9:26	PEPPER	start_animation	aplot/	A_PLOT	aplot/	
9:27	PEPPER	start_animation	bplot/	B_PLOT	bplot/	
9:30	PEPPER	start_animation	aplot/	A_PLOT	aplot/	
9:30	PEPPER	start_animation	bplot/	B_PLOT	bplot/	
9:40	PEPPER	start_animation	bplot/	B_PLOT	bplot/	
9:43	PEPPER	start_animation	aplot/	A_PLOT	aplot/	
9:43	PEPPER	start_animation	bplot/	B_PLOT	bplot/	
9:52	PEPPER	start_animation	aplot/	A_PLOT	aplot/	
9:53	PEPPER	start_animation	bplot/	B_PLOT	bplot/	
9:55	PEPPER	start_animation	aplot/	A_PLOT	aplot/	
9:55	PEPPER	start_animation	bplot/	B_PLOT	bplot/	
9:59	PEPPER	start_animation	bplot/	B_PLOT	bplot/	
9:59	PEPPER	start_animation	aplot/	A_PLOT	aplot/	
10:10	PEPPER	start_animation	aplot/	A_PLOT	aplot/	
10:10	PEPPER	start_animation	bplot/	B_PLOT	bplot/	
10:35	PEPPER	start_animation	aplot/	A_PLOT	aplot/	
10:35	PEPPER	start_animation	bplot/	B_PLOT	bplot/	
10:44	PEPPER	start_animation	aplot/	A_PLOT	aplot/	
10:45	PEPPER	start_animation	bplot/	B_PLOT	bplot/	
10:47	PEPPER	start_animation	bplot/	B_PLOT	bplot/	
10:49	PEPPER	start_animation	aplot/	A_PLOT	aplot/	
11:00	PEPPER	start_animation	aplot/	A_PLOT	aplot/	
11:00	PEPPER	start_animation	bplot/	B_PLOT	bplot/	
11:02	PEPPER	start_animation	aplot/	A_PLOT	aplot/	
11:02	PEPPER	start_animation	bplot/	B_PLOT	bplot/	
11:04	PEPPER	start_animation	bplot/	B_PLOT	bplot/	
11:07	PEPPER	start_animation	aplot/	A_PLOT	aplot/	
11:10	PEPPER	start_animation	aplot/	A_PLOT	aplot/	
